,user,artist,weight
0,Aaren,Ab Ovo,1160
1,Aaren,Aes Dana,338
2,Aaren,All India Radio,617
3,Aaren,Alva Noto,346
4,Aaren,Alva Noto + Ryuichi Sakamoto with Ensemble Modern,216
5,Aaren,Asura,163
6,Aaren,Between Interval,155
7,Aaren,Biosphere,488
8,Aaren,Carbon Based Lifeforms,342
9,Aaren,Dustin O'Halloran,229
10,Aaren,Flying Lotus,181
11,Aaren,H.U.V.A. Network,488
12,Aaren,Helios,827
13,Aaren,Hol Baumann,475
14,Aaren,Jagjit Singh,364
15,Aaren,Komet,174
16,Aaren,Library Tapes,392
17,Aaren,Lusine,174
18,Aaren,Lusine ICL,1412
19,Aaren,Massive Attack,165
20,Aaren,Melba Moore,373
21,Aaren,Nega,1172
22,Aaren,Nene Altro & O Mal de Caim,954
23,Aaren,Nino Katamadze,227
24,Aaren,Nino Katamadze & Insight,400
25,Aaren,Orsten,152
26,Aaren,Oval,426
27,Aaren,Phaeleh,742
28,Aaren,Quidam,413
29,Aaren,R.D.Burman,168
30,Aaren,Radiohead,220
31,Aaren,RelespÃºblica,1030
32,Aaren,Ryoji Ikeda,206
33,Aaren,Si,154
34,Aaren,Sigur RÃ³s,324
35,Aaren,Silencide,569
36,Aaren,Spiraal Aurel,275
37,Aaren,The Boats,209
38,Aaren,The Idan Raichel Project,835
39,Aaren,The Tiger Lillies,401
40,Aaren,Ulrich Schnauss,565
41,Aaren,Zoviet France,722
42,Aaren,ksandr,253
43,Abbey,Aeternom,58165
44,Abbey,AlemÃ£o Ronaldo,693
45,Abbey,Alexisonfire,470
46,Abbey,Armandinho,322
47,Abbey,Armin van Buuren,280
48,Abbey,Avril Lavigne,1673
49,Abbey,BidÃª ou Balde,1248
50,Abbey,City and Colour,2702
51,Abbey,Coldplay,106760
52,Abbey,David Guetta,565
53,Abbey,Deftones,438
54,Abbey,Derb,35204
55,Abbey,Detonautas Roque Clube,4520
56,Abbey,Fall Out Boy,1516
57,Abbey,Fireflight,483
58,Abbey,Franz Ferdinand,611
59,Abbey,Fresno,3644
60,Abbey,Hawthorne Heights,1924
61,Abbey,Karnivool,50554
62,Abbey,King Uszniewicz and His Uszniewicztones,63223
63,Abbey,Lady Gaga,334
64,Abbey,Louise Dearman,71409
65,Abbey,MGMT,1241
66,Abbey,Major Conventional The,79550
67,Abbey,Maroon 5,557
68,Abbey,Mayday Parade,276
69,Abbey,Muse,1649
70,Abbey,Oasis,1044
71,Abbey,Panic at the Disco,519
72,Abbey,Panic! At the Disco,2518
73,Abbey,Paramore,92079
74,Abbey,Razzle Blaster,18106
75,Abbey,Red Hot Chili Peppers,1284
76,Abbey,RÃ¶kkurrÃ³,33596
77,Abbey,Saosin,859
78,Abbey,Snow Patrol,697
79,Abbey,Story of the Year,319
80,Abbey,The Beatles,3984
81,Abbey,The Kooks,636
82,Abbey,The Last Poets,26029
83,Abbey,The Ting Tings,386
84,Abbey,Underoath,967
85,Abbey,Venom,41719
86,Abbey,Weezer,2405
87,Abbey,Young Guns,60985
88,Abbi,A Radio With Guts,1518
89,Abbi,Aaberg KÃ¦rn,1061
90,Abbi,Amy Lee,714
91,Abbi,And Methodists Induction,1884
92,Abbi,Are Frankfurt Southeast It Borders,121
93,Abbi,Beangrowers,1011
94,Abbi,Blue Color 3,1386
95,Abbi,Charly Lownoise & Mental Theo,2514
96,Abbi,Close Lobsters,2229
97,Abbi,Daniel Boaventura,2502
98,Abbi,Descended From ,594
99,Abbi,District Seattles The Levant,981
100,Abbi,Espen Lind,939
101,Abbi,Fables,218
102,Abbi,Fleshgod Apocalypse,47
103,Abbi,Goldfrapp,1395
104,Abbi,Great Expectations,2512
105,Abbi,Grouper,1046
106,Abbi,Hans Zimmer & James Newton Howard,903
107,Abbi,House vs. Hurricane,1668
108,Abbi,Jamie Cullum,554
109,Abbi,Josef K,1227
110,Abbi,Kara GÃ¼neÅ,996
111,Abbi,Marduk,741
112,Abbi,Mashonda,792
113,Abbi,Mnemonic,76
114,Abbi,Newspapers Including,1077
115,Abbi,Nigga Ft. Belinda,1940
116,Abbi,Of,1968
117,Abbi,Phemon,79
118,Abbi,Sara Tavares,1199
119,Abbi,Seabear,629
120,Abbi,Silver Bank Context This Can,432
121,Abbi,Simply Red,78
122,Abbi,Since 1916 Execute The Test,70
123,Abbi,Sonne Hagal,521
124,Abbi,Stiff Little Fingers,127
125,Abbi,Susumu Yokota,2254
126,Abbi,Teri MoÃ¯se,931
127,Abbi,The Nexion-Project,1175
128,Abbi,The Pastels,866
129,Abbi,The Stooges,1036
130,Abbi,Times New Viking,656
131,Abbi,White Lion,380
132,Abbi,flood feelings,508
133,Abbi,ã¹ã¬ã·ã«ãª,370
134,Abbie,100DEADRABBITS!!!,1955
135,Abbie,2008,2132
136,Abbie,Afshin,2485
137,Abbie,Alessandra LeÃ£o,4236
138,Abbie,Ballyhoo!,2929
139,Abbie,Been Fearful,1095
140,Abbie,Black Percentage Been,4206
141,Abbie,Bomb the Music Industry!,2914
142,Abbie,Boy Meets Girl,1837
143,Abbie,Burning in Hell,307
144,Abbie,Canadas Independence West Slavic State,3765
145,Abbie,Decence,3478
146,Abbie,Eternal Summers,1918
147,Abbie,From Freezing,290
148,Abbie,Fuck Buttons,2760
149,Abbie,Guillermo Cides,3086
150,Abbie,Heartscore,593
151,Abbie,His Statue Falls,1889
152,Abbie,In On Celestial,2931
153,Abbie,Inculcate,1429
154,Abbie,James,3862
155,Abbie,Jordan Pruitt,2259
156,Abbie,LÃ¼tzenkirchen,3249
157,Abbie,MSJ,3790
158,Abbie,Mamma Mia! The Movie,428
159,Abbie,Manu Dibango,1349
160,Abbie,Mari! Mari!,1229
161,Abbie,MaÅpa,4076
162,Abbie,Melvins/Lustmord,3881
163,Abbie,Noemi,3039
164,Abbie,Papas da LÃ­ngua,3219
165,Abbie,Robbie Williams,1411
166,Abbie,Robots Fail Happen They,3842
167,Abbie,Sd Projective Shared Infrastructures,1987
168,Abbie,Sheet,3603
169,Abbie,Sigur RÃ³s & SteindÃ³r Andersen,3455
170,Abbie,Stream of Passion,624
171,Abbie,Superfamilies The,988
172,Abbie,Tarot,1458
173,Abbie,The Band Perry,1623
174,Abbie,The Last Poets,3002
175,Abbie,The Officers As ErÃ¾Å,3321
176,Abbie,The Radiant And,3485
177,Abbie,To Opening Typed,3722
178,Abbie,Weed Hounds,2230
179,Abbie,"Zac Efron, Cast of High School Musical",3868
180,Abbie,ÐÐ¾ÑÑ & Ð ÑÐ»ÑÑÑ,216
181,Abbie,è¥¿éã«ã,681
182,Abbie,ì¡ì§ì,183
183,Abby,Be Exothermic Way Programming Languages,490
184,Abby,Billie Holiday,612
185,Abby,Chambao,91
186,Abby,Chris Botti,448
187,Abby,Christian Bruhn,64
188,Abby,Distance,572
189,Abby,Falls The Efforts Reached,164
190,Abby,Force Intercity Will Require,618
191,Abby,Go,160
192,Abby,Hilary Chow,493
193,Abby,Joan Jett,508
194,Abby,Keshco,473
195,Abby,King Straggler,14
196,Abby,Ky-Mani Marley,269
197,Abby,Margot & the Nuclear So and So's,310
198,Abby,Marteria,156
199,Abby,Nature Events Independent Pbs Affiliates,527
200,Abby,Noemi,119
201,Abby,Of Humorism Say Prayers For,583
202,Abby,PaweÅ BÅaszczak,388
203,Abby,Republica,567
204,Abby,Rio en Medio,103
205,Abby,Roger Glover,583
206,Abby,Sector Are And Whales Sand,135
207,Abby,Sonny Boy Williamson,94
208,Abby,Suara,39
209,Abby,Superturbo,593
210,Abby,System 7,615
211,Abby,The Tallest Man on Earth,150
212,Abby,The Vines,81
213,Abby,Them As Avalon Harbor,233
214,Abby,Ulrich Schnauss,442
215,Abby,Will Smith,531
216,Abby,theaudience,72
